,IsCanceled
57630,0
13040,1
17426,0
33513,1
63961,0
22975,1
53101,0
36819,1
70502,0
40365,1
17563,1
7766,1
44269,0
27544,1
21518,1
47718,0
57609,0
10426,1
19841,1
25355,1
69550,0
38364,0
40324,1
55895,0
26951,1
37489,1
27349,1
4788,0
9939,1
24124,1
11389,1
21668,1
57771,0
68476,0
45259,0
72380,0
42123,1
56455,0
22233,1
29274,1
73868,0
31331,1
1788,1
17642,1
23192,1
2777,0
74522,0
14242,1
2391,0
17884,0
16208,1
32529,1
54290,0
76338,0
47939,0
44468,0
62072,0
13472,1
66661,0
37576,0
780,0
15611,1
56774,0
4638,0
23790,1
60544,0
44733,0
15808,1
63660,0
18676,1
21666,1
74813,0
77305,0
18352,1
63573,0
6312,1
38555,0
48219,0
67768,0
15022,1
38815,0
56300,0
1559,0
52936,0
29250,1
63956,0
11058,1
29019,1
57856,0
53293,0
16264,1
31885,1
76846,0
56952,0
13481,1
29172,1
23523,1
28942,1
61392,0
56046,0
55183,0
42624,1
12913,1
8689,1
54597,0
71460,0
76304,0
30058,1
45209,0
3511,0
24562,1
39366,1
48031,0
48722,0
52545,0
73907,0
73705,0
65257,0
45262,0
75915,0
60190,0
7819,1
23747,1
29783,1
528,1
68294,0
27147,1
19181,1
31440,1
42068,1
77532,0
23665,1
54258,0
52151,0
58482,0
69048,0
70119,0
66816,0
5830,0
33455,1
30626,1
46025,0
21794,1
31449,1
48323,0
40184,0
43957,0
37195,1
25900,1
8949,1
69410,0
4077,0
69981,0
10245,1
33578,1
61574,0
24607,1
7264,1
68235,0
39550,1
5848,0
33441,1
51082,0
9314,1
51092,0
53928,0
28758,1
11452,1
51501,0
77115,0
21603,1
60558,0
53898,0
67074,0
41012,0
6593,1
59729,0
6854,1
5923,0
78489,0
47778,0
27415,1
28009,1
23894,1
11785,0
44656,0
68687,0
19931,1
55243,0
38520,0
59770,0
73686,0
3471,1
19080,1
45747,0
69903,0
75883,0
45385,0
6308,1
20261,1
22389,1
52302,0
65758,0
54644,0
51575,0
60813,0
76088,0
46202,0
32528,1
48625,0
55228,0
767,0
26201,1
68166,0
39776,1
69926,0
28298,1
8857,1
48582,0
16646,1
4933,0
37098,0
66164,0
65578,0
74174,0
11048,1
51366,0
38927,0
65945,0
38753,0
51253,0
42136,1
31466,1
60094,0
74569,0
37470,0
50935,0
11224,1
31064,1
64049,0
51719,0
37236,0
79077,0
76910,0
73284,0
31062,1
32646,1
45480,0
10549,0
68754,0
77604,0
72436,0
62327,0
55589,0
56359,0
65225,0
16921,1
60836,0
19421,1
45134,0
23437,1
29870,1
36627,0
73303,0
66709,0
58919,0
62944,0
78220,0
20020,1
72838,0
59765,0
38864,0
11998,0
27974,1
13824,1
64084,0
20133,1
64125,0
8114,1
69002,0
1433,0
32,1
56686,0
71158,0
45103,0
28376,1
1748,0
5638,0
62366,0
17082,1
53111,0
47550,0
2096,0
31272,1
40185,0
43089,0
37312,1
64016,0
9532,1
62039,0
33223,1
43435,0
17825,1
40440,1
21345,1
67067,0
60906,0
21665,1
40077,0
1602,0
74778,0
13769,1
61351,0
77465,0
9872,1
56383,0
75045,0
2360,0
65567,0
28509,1
20250,1
76922,0
13923,1
77404,0
73375,0
4846,0
12473,1
55938,0
11290,1
26724,1
8399,1
58526,0
56028,0
72529,0
2286,0
53701,0
36174,1
2897,1
29369,1
51071,0
65090,0
32801,1
9389,1
41567,1
23949,1
822,0
22503,1
76718,0
42504,0
67197,0
19521,1
49395,0
19548,1
28553,1
28254,1
10232,1
47681,0
16966,1
21937,1
3060,0
65047,0
11044,1
44311,0
60622,0
42097,1
69721,0
18370,1
21861,1
41860,1
42463,0
32842,1
10400,1
60913,0
9127,1
18083,1
31525,1
47762,0
56552,0
73674,0
23351,1
61286,0
1272,1
53058,0
64948,0
11969,1
17652,1
74218,0
60365,0
73499,0
30803,1
9926,1
29180,1
47411,0
17739,1
26375,1
46520,0
61888,0
19621,1
46878,0
68450,0
67998,0
22815,1
33600,1
11961,1
37062,0
62248,0
5007,0
45619,0
61094,0
27448,1
60619,0
7557,1
73731,0
76992,0
50733,0
31962,1
946,0
49471,0
65938,0
54706,0
68968,0
75362,0
27651,1
15863,1
32164,1
28822,1
69506,0
50592,0
67107,0
56842,0
48168,0
54267,0
7920,1
15444,1
64604,0
2241,0
26202,1
1407,0
26692,1
5865,0
61988,0
13044,1
10890,1
48793,0
16340,1
4525,0
4702,1
43861,0
26751,1
42846,1
78407,0
40115,0
71334,0
49767,0
21194,1
76105,0
18908,1
59897,0
22092,1
29669,1
68713,0
4319,0
64273,0
39782,1
62696,0
74260,0
16712,1
36353,1
45016,0
18680,1
47401,0
22838,1
62979,0
18078,1
3007,0
61422,0
50210,0
30904,1
63887,0
42352,0
1347,0
31930,1
5379,0
74942,0
29847,1
14188,1
70009,0
42865,1
42258,0
9203,1
51303,0
74554,0
50131,0
9401,1
53401,0
70000,0
42374,0
57444,0
72608,0
30708,1
22288,1
52327,0
44394,0
65304,0
50158,0
9928,1
24735,1
73765,0
13172,1
45797,0
77005,0
47027,0
25763,1
9770,0
45806,0
22306,1
2577,0
60384,0
14655,1
58329,0
12449,1
14813,1
50115,0
65241,0
64615,0
77743,0
71749,0
41472,1
66206,0
14469,1
19199,1
6116,0
16660,1
13991,0
9974,1
58511,0
52837,0
56911,0
27845,1
44644,0
53128,0
72475,0
50506,0
63181,0
13163,1
78296,0
36675,0
49707,0
16801,1
976,0
27168,1
31128,1
58861,0
60009,0
74092,0
61027,0
12625,1
77033,0
8591,1
51545,0
55636,0
28205,1
68790,0
10966,1
37318,1
9586,0
71439,0
25411,1
67263,0
53543,0
54558,0
56343,0
29131,1
64298,0
54560,0
3201,0
67849,0
58709,0
30940,1
75095,0
56529,0
17358,1
23318,1
58283,0
46413,0
25519,1
10082,1
20385,1
52893,0
23148,1
11966,1
64409,0
40483,0
5881,1
66805,0
26471,1
9535,1
64831,0
62412,0
73347,0
55734,0
29136,1
6112,0
57738,0
50162,0
22444,1
72779,0
50200,0
12539,1
67736,0
25482,1
7999,1
28548,1
14015,1
60153,0
64450,0
78346,0
70782,0
6981,1
2940,0
71552,0
73263,0
69718,0
54140,0
21389,1
75916,0
73781,0
66912,0
52000,0
24193,1
50308,0
7218,0
30538,1
30792,1
42529,0
68353,0
15459,1
267,0
63844,0
68296,0
56540,0
32602,1
12552,1
40612,0
24118,1
43436,0
12911,1
9984,1
5637,0
28737,1
1198,1
1327,1
70705,0
41617,1
5563,1
24355,1
7411,1
25154,1
27149,1
64955,0
15531,1
52135,0
73056,0
7827,1
7531,1
70078,0
55875,0
77300,0
26299,1
67444,0
21395,1
70294,0
76221,0
73799,0
29528,1
72808,0
76194,0
58447,0
39114,0
52512,0
70368,0
16405,1
33618,1
63705,0
76686,0
7710,0
26077,1
28859,1
7853,0
20943,1
65251,0
36994,1
50932,0
49035,0
27157,1
28564,1
50201,0
7446,1
13078,1
53720,0
3822,1
43117,0
16742,1
63712,0
55736,0
21658,1
58679,0
26996,1
73642,0
20263,1
17838,1
31761,1
66769,0
78552,0
32242,0
40266,1
23432,1
38327,0
76824,0
71832,0
2351,1
9850,1
6705,0
51491,0
15796,1
3136,0
23405,1
10346,1
9568,1
7617,1
22341,1
71041,0
68111,0
79130,0
39522,0
69590,0
56406,0
11131,1
75229,0
1421,0
77341,0
63098,0
2938,0
69962,0
69907,0
31445,1
71729,0
23065,1
61098,0
27625,1
68305,0
11090,0
74990,0
53314,0
8016,0
23571,1
77662,0
37659,0
20476,1
48604,0
71442,0
14432,1
18660,1
76873,0
56077,0
39849,0
51824,0
41341,0
73153,0
9469,1
53066,0
77315,0
30703,1
73266,0
7477,1
66607,0
40080,0
29975,1
58676,0
23408,1
30169,1
4870,1
36800,1
51687,0
21163,1
75930,0
29873,1
38563,0
4750,0
511,1
46681,0
15894,1
43243,0
38498,0
29093,1
13068,1
59253,0
128,1
16918,1
42139,0
21934,1
26195,1
25799,1
38410,0
18487,1
55037,0
11560,1
58219,0
3488,1
56837,0
819,0
41331,0
14221,1
48139,0
71035,0
9760,1
24942,1
8797,1
53200,0
60669,0
71127,0
21291,1
15486,1
43787,0
612,0
51386,0
29708,1
28842,1
75379,0
21023,1
24875,1
32289,1
29267,1
50122,0
65265,0
58165,0
22404,1
12157,1
70406,0
32009,1
42852,0
50899,0
50229,0
30934,1
406,1
57374,0
42699,1
6015,1
42984,0
52680,0
29220,1
74979,0
2437,0
17512,1
18426,1
21945,1
13582,1
3897,1
27710,1
70231,0
17133,1
15421,1
14646,1
55539,0
3072,0
1638,0
57496,0
46468,0
11529,1
50459,0
76899,0
11010,1
54347,0
14124,1
63553,0
41019,0
77527,0
44425,0
51873,0
59220,0
4223,0
70656,0
54064,0
15805,1
42868,1
40212,0
18474,1
4327,0
64312,0
47556,0
39461,1
29129,1
78903,0
48145,0
79143,0
59833,0
962,0
2726,1
68639,0
40896,0
59347,0
3439,0
65816,0
77312,0
14281,1
72447,0
72615,0
4316,0
31577,1
78516,0
69471,0
7845,1
29051,1
11187,1
26447,1
9779,0
19748,1
72115,0
46526,0
44100,0
53044,0
23504,1
53298,0
9938,1
33632,1
13772,1
62702,0
78264,0
20734,1
20205,1
18978,1
22119,1
5627,0
13809,1
36577,0
2452,0
73109,0
41516,1
43411,0
52949,0
46228,0
11675,1
1968,1
69768,0
64421,0
4140,0
57005,0
66082,0
65805,0
25343,1
38062,0
78701,0
67420,0
13648,1
58126,0
71777,0
46597,0
24750,1
16562,1
55685,0
9289,1
4306,0
7431,1
43964,0
17530,1
5956,1
18168,1
897,0
65122,0
37981,0
49077,0
28568,1
70529,0
19252,1
47571,0
71112,0
33119,1
3606,1
22296,1
69071,0
13424,1
31642,1
21263,1
55807,0
2364,0
52511,0
61804,0
54459,0
78172,0
23445,1
51580,0
17227,1
67076,0
61011,0
55025,0
6076,0
58358,0
21863,1
42493,0
59290,0
1149,0
78857,0
62100,0
25967,1
1065,0
18361,1
48888,0
13333,1
14804,1
50014,0
32382,1
36952,0
41493,1
26076,1
49036,0
72473,0
48245,0
11934,1
11253,0
43704,0
64784,0
10395,1
13467,1
44448,0
54195,0
48211,0
6078,1
63424,0
16648,1
39180,1
4992,0
9711,1
25011,1
67096,0
36212,1
61108,0
21569,1
37428,1
62332,0
59632,0
65019,0
1296,0
32831,1
12975,1
53570,0
38390,0
15679,1
1040,0
7101,0
1325,0
44517,0
50758,0
23880,1
12893,1
70802,0
77572,0
58763,0
20209,1
18713,1
60290,0
3016,0
2986,0
65899,0
45773,0
28266,1
47249,0
45253,0
19085,1
55598,0
17065,1
9924,1
24592,1
45981,0
69089,0
15357,1
49235,0
61291,0
58342,0
20900,1
24383,1
19807,1
30936,1
16412,1
48756,0
33449,1
27181,1
24588,1
41955,1
78803,0
4723,1
63405,0
432,0
53451,0
27994,1
10798,1
38714,0
57064,0
70807,0
74303,0
43527,0
34661,0
73370,0
52010,0
4619,1
3853,1
77036,0
79134,0
25242,1
32179,1
8216,1
13321,1
52299,0
68393,0
68090,0
10372,1
18878,1
61832,0
46105,0
64899,0
5514,1
54615,0
50553,0
55737,0
56602,0
53960,0
78714,0
710,0
4272,0
21977,1
32872,1
77795,0
30788,1
67428,0
63064,0
45495,0
43516,0
26702,1
16576,1
6238,0
46402,0
6114,0
53679,0
78300,0
57287,0
20075,1
61151,0
3312,0
49602,0
33621,1
48370,0
61751,0
7588,1
71912,0
25337,1
57381,0
56012,0
37865,1
29995,1
54678,0
74098,0
22241,1
39826,1
20615,1
43819,0
12338,1
20690,1
26098,1
43880,0
30688,1
77337,0
20752,1
51537,0
57254,0
58202,0
42711,1
73520,0
55349,0
32167,1
59379,0
18567,1
77810,0
66287,0
73170,0
63507,0
66924,0
36735,0
38415,0
43917,0
31689,1
29861,1
28789,1
22720,1
17320,1
43537,0
76554,0
4909,0
57465,0
20130,1
71181,0
9500,0
64544,0
60294,0
32430,1
12514,1
38486,0
6355,1
53561,0
37834,0
31898,1
65716,0
25472,1
58334,0
19140,1
69288,0
2242,0
58179,0
27743,1
20637,1
50078,0
56051,0
14986,1
55511,0
58403,0
32943,1
20027,1
14197,0
39029,0
42712,1
60470,0
42648,0
52665,0
74241,0
58543,0
63387,0
38977,0
30419,1
47715,0
63060,0
22525,1
67645,0
12457,1
29555,1
20185,1
37230,0
68707,0
30506,1
77257,0
24694,1
77880,0
14787,1
59704,0
11845,0
42132,0
3620,0
69614,0
78627,0
76219,0
24664,1
32500,1
1164,0
54701,0
19589,1
40043,1
60815,0
22730,1
30802,1
6820,0
68656,0
58248,0
27076,1
38564,0
51100,0
14897,1
53946,0
62432,0
39020,0
5707,0
26979,1
29168,1
65159,0
53580,0
15353,1
6625,1
72914,0
66200,0
26668,1
26274,1
43779,0
62488,0
71383,0
37830,0
22163,1
73790,0
49220,0
50061,0
31121,1
63066,0
11003,1
5698,1
22906,1
26844,1
20631,1
15683,1
26976,1
59854,0
69716,0
46377,0
31660,1
13535,1
23921,1
11263,1
41511,1
65010,0
58585,0
64858,0
7551,1
49421,0
64508,0
71656,0
69193,0
44986,0
55661,0
3801,0
1969,1
73328,0
1212,1
9945,1
27541,1
17236,0
57423,0
53739,0
12665,1
11773,0
21670,1
6032,1
12368,1
73628,0
39398,1
57694,0
10893,1
14620,1
76019,0
12878,1
43911,0
67178,0
9032,1
7520,1
55397,0
48043,0
75453,0
37815,1
50537,0
68331,0
71184,0
17353,1
64117,0
2074,0
61890,0
69439,0
45553,0
32876,1
62663,0
52621,0
29689,1
7574,1
49126,0
16047,1
58757,0
61405,0
14031,1
25526,1
49272,0
54295,0
51779,0
25804,1
69365,0
69268,0
3818,0
50940,0
55387,0
65190,0
9120,1
68510,0
22978,1
47087,0
48130,0
75409,0
22908,1
67674,0
67594,0
78227,0
60162,0
13771,1
6906,0
33636,1
30142,1
15205,1
42505,0
14071,0
70048,0
77689,0
36689,0
7113,0
77152,0
28057,1
8519,1
57183,0
31871,1
6882,0
48759,0
21243,1
13426,1
65657,0
5108,0
72021,0
13351,1
20480,1
61993,0
13166,1
70800,0
4204,0
64258,0
59994,0
66152,0
22972,1
78793,0
68715,0
42895,0
62786,0
62480,0
29602,1
44059,0
17594,1
16215,1
57273,0
9731,1
8050,1
24048,1
32869,1
29268,1
29941,1
1673,0
45493,0
17545,1
67031,0
73337,0
18691,1
27664,1
3214,0
77694,0
51762,0
13911,1
1697,0
69881,0
54455,0
28531,1
64779,0
62317,0
71901,0
46688,0
50350,0
18851,1
27763,1
78224,0
25773,1
30775,1
14868,1
19790,1
52332,0
11136,1
61930,0
66371,0
76466,0
59421,0
57342,0
18828,1
44941,0
28188,1
44434,0
60075,0
14580,1
67890,0
47840,0
19613,1
27546,1
51770,0
65416,0
22298,1
3145,0
70801,0
40996,1
43209,0
23681,1
70103,0
78384,0
79170,0
65924,0
68180,0
21797,1
67573,0
31582,1
67103,0
30495,1
65054,0
8339,1
13549,1
44617,0
2124,1
15628,1
33301,1
29212,1
57028,0
59653,0
10131,0
13532,1
13608,1
12002,1
25785,1
21043,1
559,1
10975,1
8989,0
3931,1
75588,0
51327,0
38459,0
14296,1
2436,0
66008,0
58752,0
77063,0
2375,1
64399,0
70823,0
56499,0
61454,0
54909,0
17484,1
5358,0
42217,0
63346,0
4794,0
58547,0
11745,1
15867,1
17281,1
22791,1
40825,0
53169,0
57579,0
51149,0
54484,0
46599,0
21308,1
65483,0
54786,0
65791,0
61949,0
77484,0
54002,0
47327,0
49790,0
29341,1
43406,0
2035,0
65781,0
52294,0
58796,0
68212,0
61178,0
7682,1
9414,1
12280,1
61439,0
20490,1
12800,1
65997,0
4633,0
66278,0
49758,0
53965,0
41678,1
60205,0
4651,0
33108,1
9679,1
44090,0
63665,0
63382,0
22806,1
12483,1
66951,0
77265,0
1128,0
50826,0
51453,0
57320,0
15260,1
19558,1
39024,0
60227,0
26704,1
47263,0
4819,0
12942,1
77540,0
56173,0
64965,0
6885,1
22074,1
40257,1
46081,0
46055,0
76380,0
40714,1
21095,1
41628,1
37725,0
65109,0
56047,0
62193,0
7786,1
31593,1
50700,0
40598,0
16685,1
29449,1
29956,1
12783,1
69090,0
69407,0
54130,0
14340,1
1014,0
73421,0
14110,1
14961,1
13693,1
8338,1
67714,0
77474,0
27182,1
28792,1
18319,1
37856,0
1131,0
4494,0
76483,0
43404,0
28231,1
41533,1
60888,0
57879,0
68439,0
24627,1
9125,1
1446,0
45602,0
55818,0
13632,1
11411,1
37311,1
4290,0
4357,1
21716,1
42026,1
75478,0
65789,0
68618,0
66329,0
69633,0
21159,1
55601,0
60527,0
61862,0
11298,1
11329,1
62957,0
11075,0
2912,0
76176,0
22685,1
52112,0
59507,0
18772,1
69359,0
16229,1
32008,1
17379,1
14154,1
75348,0
31235,1
1540,0
44033,0
29541,1
13407,1
31078,1
56772,0
37933,1
66243,0
11493,1
17451,0
56510,0
60325,0
39887,0
41371,0
67369,0
22098,1
4181,0
67235,0
63752,0
36657,0
55718,0
53137,0
33566,1
75269,0
10980,1
40368,1
71054,0
19749,1
29121,1
242,0
6683,0
78238,0
62353,0
42981,0
37255,0
63462,0
3294,1
48357,0
56617,0
60620,0
27934,1
10191,1
4072,0
67894,0
55581,0
76151,0
10011,1
45363,0
69624,0
43197,0
48585,0
75751,0
38921,0
37794,1
26313,1
32944,1
53397,0
26358,1
66811,0
77926,0
45883,0
20750,1
3586,0
48293,0
31427,1
72041,0
32964,1
63176,0
76098,0
72217,0
25122,1
10667,0
66613,0
3653,0
74331,0
60901,0
65136,0
23720,1
50042,0
23282,1
25121,1
58890,0
27340,1
72061,0
21690,1
7291,1
69399,0
38000,0
54748,0
65738,0
14487,1
28070,1
29088,1
14438,1
24501,1
48843,0
60239,0
38787,0
38761,0
70316,0
15046,1
54222,0
12690,1
45862,0
10784,1
1507,1
30741,1
17229,1
11985,0
26140,1
59572,0
27652,1
12524,1
61256,0
20322,1
10091,1
75634,0
20825,1
1430,0
47212,0
54325,1
16812,1
28223,1
764,0
3160,0
78098,0
9815,1
55790,0
22047,1
55781,0
11115,1
51168,0
31917,1
24361,1
26226,1
37498,1
70179,0
27675,1
25166,1
14488,1
62968,0
72438,0
42092,1
29485,1
45762,0
29025,1
25068,1
45635,0
13773,1
43591,0
33652,1
57753,0
46736,0
8651,0
51535,0
17374,0
37601,0
67402,0
23971,1
762,0
15003,1
2830,1
45072,0
19244,1
73840,0
11515,1
64322,0
31938,1
51971,0
74105,0
44577,0
33593,1
23988,1
47567,0
74297,0
47285,0
62593,0
24379,1
3729,0
9187,1
72042,0
66997,0
1324,1
51039,0
58359,0
23878,1
65746,0
21849,1
16731,1
20721,1
8516,1
57808,0
61704,0
60842,0
42949,0
36738,0
12485,1
42452,0
58343,0
40389,1
41170,1
25872,1
52432,0
54760,0
71443,0
13980,1
24674,1
26386,1
20550,1
71406,0
30751,1
77504,0
9301,1
71294,0
29125,1
58677,0
42582,0
75399,0
76351,0
38672,1
24529,1
14091,1
8848,1
67592,0
77691,0
44418,0
75011,0
22819,1
75739,0
59997,0
59801,0
36488,1
75318,0
47017,0
22672,1
45038,0
2580,0
5137,0
36598,1
71972,0
37557,0
67588,0
47838,0
31077,1
42141,1
39289,0
54890,0
28924,1
29647,1
71638,0
43798,0
4662,0
13033,1
46487,0
67620,0
32912,1
8323,1
75640,0
19357,1
43067,0
57127,0
60627,0
46598,0
28762,1
43416,0
36614,0
61883,0
10324,1
64472,0
57868,0
6415,0
43742,0
76364,0
11414,1
15774,1
32976,1
1567,0
31066,1
27553,1
55241,0
21073,1
53936,0
4915,1
29525,1
2077,0
30054,1
19462,1
65732,0
49632,0
6684,1
78615,0
23507,1
45660,0
15972,1
48610,0
39588,0
47375,0
47839,0
69233,0
68609,0
51302,0
78454,0
21808,1
31384,1
69034,0
72827,0
25542,1
70286,0
28300,1
77322,0
38355,0
76083,0
41249,0
7656,1
41336,0
24712,1
48935,0
63987,0
18970,1
66002,0
6709,0
75900,0
48224,0
22615,1
12292,1
6115,0
65610,0
14246,0
68038,0
11837,0
37797,0
43560,0
23415,1
6008,1
8583,1
14098,1
27945,1
10092,1
65439,0
70260,0
77417,0
53509,0
41639,0
61693,0
46563,0
70954,0
1072,0
69971,0
36289,1
70712,0
59148,0
26330,1
4640,1
13243,1
46523,0
59641,0
13048,1
72819,0
21686,1
25003,1
10154,1
13937,1
63366,0
49264,0
69395,0
73626,0
17458,1
27063,1
49214,0
75009,0
78860,0
15510,1
53436,0
46177,0
24381,1
44913,0
9337,1
49589,0
43606,0
42953,0
63334,0
27261,1
69065,0
19146,1
44200,0
7012,1
29152,1
5816,0
68220,0
12358,1
56684,0
70977,0
7169,0
38161,0
30038,1
71775,0
25627,1
69101,0
39606,0
20237,1
12488,1
58888,0
15411,1
536,0
77623,0
45595,0
5968,1
2106,0
76506,0
39532,0
57413,0
28939,1
8263,0
6062,0
27213,1
67441,0
66319,0
57576,0
14613,1
9989,1
20739,1
3574,0
23680,1
21755,1
41187,0
7650,1
75398,0
45922,0
72255,0
29463,1
64764,0
61851,0
74972,0
62626,0
75097,0
1774,0
62924,0
27497,1
30202,1
5817,0
2543,0
61701,0
46022,0
56586,0
27269,1
23447,1
25887,1
39729,0
76239,0
36946,0
57735,0
47597,0
46042,0
74542,0
67893,0
7943,1
31132,1
71364,0
55508,0
10933,1
26318,1
18709,1
8664,1
74743,0
41485,1
62416,0
9562,1
4074,1
6224,0
188,1
54216,0
14524,1
66445,0
31164,1
12470,1
19207,1
29111,1
25133,1
5814,0
4312,1
72161,0
6155,0
30212,1
11133,1
2831,1
24842,1
66359,0
64790,0
32018,1
51833,0
76762,0
2029,0
58697,0
32348,1
49873,0
10504,1
16148,1
6503,1
63555,0
72618,0
65350,0
293,0
38695,0
52601,0
9925,1
26023,1
49523,0
24473,1
16945,1
25018,1
15426,1
61628,0
27451,1
4418,0
75790,0
75673,0
50492,0
33387,1
46824,0
20087,1
68407,0
58169,0
1845,0
56091,0
48828,0
14129,1
56116,0
77707,0
40030,1
23881,1
2699,1
30317,1
52185,0
15381,1
43484,0
49123,0
24878,1
75963,0
49576,0
63388,0
68261,0
28424,1
63612,0
73535,0
76332,0
9987,1
17354,1
76985,0
48164,0
50076,0
41723,1
17412,1
44573,0
2732,1
51807,0
46852,0
66283,0
75168,0
30951,1
51735,0
73652,0
28348,1
6444,1
24891,1
20023,1
40826,0
71925,0
76716,0
19211,1
13207,1
3615,0
45308,0
566,1
13682,1
27515,1
7957,1
22057,1
37616,1
5488,0
40973,1
76975,0
64515,0
45787,0
32362,1
42058,0
74630,0
63073,0
11738,1
1106,0
77424,0
3218,0
67841,0
51095,0
79120,0
20125,1
31193,1
53819,0
6941,1
27873,1
64207,0
55622,0
65616,0
61237,0
73958,0
16100,1
44096,0
77376,0
57652,0
4154,0
39980,0
61652,0
17351,1
6662,0
18760,1
24187,1
31740,1
72648,0
22217,1
4854,1
76798,0
46588,0
77310,0
44965,0
51652,0
11325,1
43052,0
21170,1
16620,1
25741,1
59064,0
27926,1
52418,0
65375,0
9258,1
28808,1
51798,0
33410,1
23873,1
6849,1
12784,1
8927,0
40470,0
28530,1
28035,1
7955,1
32829,1
45105,0
20438,1
32304,1
25511,1
7519,1
40616,0
4546,1
15905,1
66384,0
70122,0
66668,0
54471,0
54981,0
12642,0
22747,1
22457,1
41627,1
52203,0
69046,0
48411,0
16009,1
66028,0
62548,0
13720,1
53552,0
61691,0
15959,1
44704,0
27265,1
4070,1
76373,0
58055,0
7934,1
51402,0
16895,1
20233,1
77622,0
71663,0
49811,0
50942,0
5328,0
41422,0
24514,1
58424,0
41134,0
73080,0
615,0
26663,1
32502,1
76073,0
56629,0
56575,0
11065,1
16694,1
53064,0
41931,1
46089,0
24668,1
11336,1
48244,0
9158,1
24940,1
52726,0
61468,0
13307,1
9139,0
20996,1
6351,1
55275,0
51660,0
466,0
45130,0
7022,1
48613,0
61090,0
22695,1
6156,0
24419,1
68335,0
79051,0
57094,0
42956,0
78636,0
46291,0
41214,0
45737,0
61046,0
43055,0
57106,0
58670,0
79270,0
44727,0
19012,1
63642,0
26271,1
60511,0
30820,1
9778,1
30059,1
65624,0
7296,1
11435,1
13520,1
41231,0
58864,0
6201,0
75189,0
18612,1
9404,1
61172,0
26631,1
71917,0
32094,1
2231,0
32987,1
71410,0
61535,0
77574,0
11814,0
13170,1
76451,0
6352,0
49684,0
7442,1
72575,0
89,0
17128,1
45001,0
57931,0
14502,1
67154,0
3584,0
79044,0
51565,0
6968,0
50511,0
46006,0
41666,1
31255,1
8700,1
40240,1
7262,1
316,0
48930,0
45882,0
79171,0
64362,0
76969,0
44475,0
24892,1
61656,0
38054,0
46071,0
58249,0
23638,1
47560,0
28036,1
57107,0
55051,0
12047,1
66226,0
52082,0
46932,0
38280,0
48650,0
77419,0
9348,0
76981,0
41826,1
62080,0
75852,0
52815,0
73766,0
78329,0
58464,0
60234,0
74172,0
47177,0
51804,0
37092,0
27384,1
4949,1
11673,1
11999,1
74233,0
9245,1
23845,1
69209,0
78441,0
72248,0
20165,1
11478,1
1242,0
45159,0
53983,0
56072,0
30389,1
8832,1
43752,0
11244,1
71144,0
51644,0
67323,0
18810,1
29917,1
56867,0
47387,0
41279,0
58814,0
10624,0
53626,0
18123,1
58653,0
73244,0
66907,0
59339,0
44211,0
57212,0
38904,0
4963,1
16719,1
42299,1
55821,0
38191,0
17706,1
41990,0
49296,0
58488,0
22184,1
63525,0
74643,0
532,0
43180,0
60645,0
68246,0
56699,0
52150,0
64159,0
71545,0
74446,0
42963,0
68292,0
71077,0
51460,0
78252,0
42647,0
39347,1
36514,1
70011,0
77258,0
71267,0
48475,0
58979,0
24337,1
4217,0
31299,1
44079,0
41338,0
53688,0
46352,0
79243,0
76102,0
37710,0
31126,1
2672,0
21274,1
