,LeadTime,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,Temp,Cloudcover,BookingDateWeekNumber,BookingDateDayOfWeek,TotalNights,CancelationRatio,DepositType_Non Refund,CustomerType_Transient,Agent_9,Agent_Other
39879,8,90.0,0,0,65.0,87.4,44,3,2,0.0,0.0,1.0,0,1
62500,0,75.0,0,1,53.3,33.2,2,5,1,0.0,0.0,1.0,0,0
3184,14,0.0,0,0,64.4,36.0,36,4,2,0.0,0.0,0.0,0,1
67752,54,68.0,0,0,62.7,79.0,3,5,4,0.0,0.0,1.0,0,1
7270,44,75.0,0,0,48.0,52.7,1,1,3,0.0,1.0,1.0,0,1
39967,0,89.0,0,0,64.6,20.9,46,2,1,0.0,0.0,1.0,0,0
74093,39,190.4,0,1,75.0,35.6,18,5,5,0.0,0.0,1.0,0,1
78946,201,99.0,0,0,71.5,37.2,5,6,4,0.0,0.0,1.0,1,0
71324,16,150.0,0,2,67.6,37.0,16,5,3,0.0,0.0,1.0,1,0
23359,19,108.8,0,0,47.8,60.8,4,1,4,0.0,0.0,1.0,1,0
40112,98,65.0,0,0,66.3,27.7,24,3,1,0.25,0.0,1.0,0,0
71214,121,126.0,0,2,63.7,31.5,1,4,3,0.0,0.0,1.0,1,0
41984,22,65.0,0,0,61.3,67.5,48,4,1,0.0,0.0,0.0,0,0
6561,6,69.5,0,2,54.1,42.6,1,3,2,0.0,0.0,0.0,1,0
71266,52,189.0,0,0,63.7,31.5,11,3,3,0.0,0.0,1.0,1,0
72774,175,126.0,0,1,65.6,57.8,48,6,2,0.0,0.0,1.0,1,0
30554,210,130.0,0,0,82.6,21.0,47,1,4,0.0,1.0,1.0,0,1
55974,143,100.0,0,0,74.6,15.6,14,1,3,0.0,0.0,0.0,0,1
40817,73,0.0,0,0,52.8,39.5,37,6,3,0.0,0.0,0.0,0,1
66880,78,97.2,0,3,55.4,58.1,50,3,3,0.0,0.0,1.0,1,0
7896,15,88.0,0,0,53.7,27.7,8,3,6,0.0,0.0,1.0,1,0
39670,350,90.0,0,0,71.9,33.7,42,5,3,1.0,1.0,1.0,0,1
21479,7,78.0,0,1,51.0,55.6,49,5,2,0.0,0.0,1.0,0,1
55117,136,86.36,0,1,82.2,0.8,13,1,5,0.0,0.0,1.0,0,1
62375,67,75.0,0,0,55.3,58.5,38,1,4,0.0,0.0,1.0,0,1
39069,4,100.8,0,1,63.1,67.3,42,4,3,0.0,0.0,0.0,0,1
61679,22,77.0,0,0,58.2,2.8,43,1,2,0.0,0.0,1.0,0,1
5879,84,56.0,0,0,59.9,24.2,36,5,3,0.0,0.0,0.0,0,0
14190,2,0.0,0,1,73.3,25.3,27,5,2,0.0,0.0,1.0,0,0
40704,180,125.0,0,0,57.6,44.8,42,5,1,1.0,1.0,1.0,0,1
4625,204,72.75,0,0,61.9,47.5,12,4,4,0.0,0.0,0.0,0,1
55880,17,230.0,1,1,79.2,0.0,31,5,4,0.0,0.0,1.0,1,0
71654,80,206.0,0,1,61.1,53.8,8,1,3,0.0,0.0,0.0,0,0
48368,83,145.5,1,0,64.5,0.0,6,1,5,0.0,0.0,1.0,0,1
59440,4,65.0,0,1,63.6,52.2,17,5,3,0.25,0.0,1.0,0,0
74489,320,109.8,0,1,87.5,28.4,31,2,6,0.0,0.0,1.0,1,0
59219,180,98.1,0,1,63.3,35.4,15,3,1,0.0,0.0,0.0,1,0
9498,65,110.99,0,1,58.8,84.2,6,2,7,0.0,0.0,1.0,1,0
5838,84,64.0,0,0,59.9,24.2,36,5,3,0.0,0.0,0.0,0,0
76741,197,158.95,0,0,70.5,62.7,1,2,6,0.0,0.0,1.0,1,0
18132,338,80.0,0,0,65.1,50.9,45,3,3,0.0,0.0,0.0,0,1
31363,262,78.35,0,1,68.0,47.2,41,0,4,0.0,0.0,1.0,0,1
60585,180,100.08,0,2,74.5,76.8,17,0,3,0.0,0.0,1.0,0,1
61880,46,89.2,0,1,59.5,67.8,40,1,2,0.0,0.0,1.0,1,0
18442,461,62.0,0,0,61.4,42.2,28,5,2,0.0,1.0,1.0,0,0
77671,259,156.6,0,3,72.3,43.3,46,6,4,0.0,0.0,1.0,1,0
75799,35,133.33,0,1,69.4,61.7,22,0,3,0.0,0.0,1.0,1,0
26128,87,95.0,0,0,63.5,44.4,3,3,4,0.0,1.0,1.0,0,0
16840,433,62.0,0,0,66.4,51.4,28,5,2,0.0,1.0,1.0,0,0
6966,8,127.0,0,0,54.8,77.3,4,3,3,0.0,0.0,1.0,1,0
11911,64,140.4,0,0,63.8,63.3,12,4,2,0.0,0.0,1.0,1,0
72169,96,126.0,0,0,70.7,38.7,7,1,2,0.0,0.0,1.0,0,1
600,0,0.0,0,0,71.6,9.1,32,3,1,0.0,0.0,1.0,0,0
20417,27,101.43,0,3,57.2,57.9,41,6,6,0.0,0.0,1.0,1,0
48062,9,110.0,0,0,62.1,50.8,16,3,2,0.0,0.0,0.0,0,1
37667,0,155.0,0,1,72.5,44.4,39,1,4,0.0,0.0,0.0,1,0
55549,0,178.33,0,1,71.7,11.1,33,4,3,0.0,0.0,1.0,1,0
52382,82,114.3,0,1,68.3,57.9,14,0,6,0.0,0.0,1.0,1,0
10750,110,105.3,0,0,57.5,55.4,3,3,2,0.0,0.0,1.0,1,0
11768,316,100.0,0,0,63.5,36.9,29,3,3,0.0,0.0,0.0,0,1
74342,11,95.0,0,0,78.8,4.4,23,5,2,0.0,0.0,1.0,0,1
28324,75,126.0,0,1,75.2,84.8,9,4,3,0.0,0.0,1.0,1,0
28011,276,130.5,0,2,62.5,56.4,32,2,2,0.0,0.0,1.0,1,0
67827,53,100.3,0,3,59.3,73.6,3,0,4,0.0,0.0,1.0,1,0
39725,8,83.0,0,0,63.7,68.1,44,2,1,0.0,0.0,1.0,1,0
5494,123,60.0,0,0,66.5,50.7,28,1,3,0.0,0.0,0.0,0,0
74702,263,6.9,0,2,73.5,32.1,40,1,4,0.0,0.0,0.0,0,1
64684,2,95.0,0,0,42.0,4.9,3,2,3,0.0,0.0,0.0,0,1
23975,46,74.8,0,2,54.7,79.3,2,3,6,0.0,0.0,1.0,1,0
48058,9,110.0,0,0,62.1,50.8,16,3,2,0.0,0.0,0.0,0,1
32144,197,130.5,0,0,70.7,26.4,1,6,3,0.0,0.0,1.0,1,0
41662,109,75.0,0,0,55.2,24.9,45,3,3,1.0,1.0,1.0,0,1
63605,4,185.0,0,0,52.5,14.3,51,6,1,0.0,0.0,1.0,1,0
3675,34,224.67,0,0,67.2,19.1,34,4,3,0.0,0.0,0.0,0,1
24729,246,122.4,0,0,59.3,73.6,28,3,3,0.0,0.0,1.0,1,0
6286,15,146.0,1,2,59.0,81.9,51,2,2,0.0,0.0,1.0,1,0
10330,117,95.2,0,1,62.1,50.8,53,0,4,0.0,0.0,1.0,1,0
54995,137,183.9,0,0,83.3,0.0,13,1,2,0.0,0.0,1.0,0,1
26387,125,85.0,0,0,68.3,49.4,50,5,3,0.0,1.0,1.0,0,1
5581,140,65.0,0,0,59.9,27.5,27,3,3,0.0,0.0,0.0,0,1
27957,157,120.0,0,2,61.1,53.8,49,1,3,0.0,0.0,1.0,1,0
48347,102,108.3,0,1,73.3,4.1,3,5,3,0.0,0.0,1.0,1,0
33032,32,160.0,0,1,73.9,21.4,28,4,3,0.0,0.0,1.0,1,0
51481,47,142.65,0,1,71.8,2.1,18,2,4,0.0,0.0,1.0,1,0
74985,368,112.67,0,1,69.0,55.8,25,6,3,0.0,0.0,0.0,0,1
56797,35,110.16,0,0,87.1,12.0,31,1,4,0.0,0.0,1.0,0,1
2208,18,96.0,0,1,65.4,38.6,34,1,2,0.0,0.0,0.0,1,0
64210,121,104.0,0,1,51.0,60.6,36,3,4,0.0,0.0,1.0,1,0
62775,26,70.72,0,0,57.9,81.2,45,1,4,0.0,0.0,1.0,0,1
45408,35,81.9,0,0,55.4,19.0,5,0,3,0.0,0.0,1.0,1,0
6770,48,63.75,0,1,55.2,76.9,49,3,7,0.0,0.0,1.0,0,1
53903,64,105.3,0,1,79.8,16.0,21,1,3,0.0,0.0,1.0,1,0
31005,141,130.0,0,0,69.8,44.6,6,1,7,0.0,1.0,1.0,0,0
6504,2,77.25,0,0,59.1,89.5,1,2,3,0.0,0.0,0.0,1,0
1026,41,62.0,0,0,70.5,35.6,27,4,2,0.0,0.0,0.0,0,0
7647,61,78.9,0,1,52.6,15.4,53,3,3,0.0,0.0,1.0,1,0
44805,3,79.77,0,1,55.8,72.2,8,0,3,0.0,0.0,1.0,0,1
20021,11,150.0,0,1,60.5,54.7,43,2,1,0.0,0.0,1.0,1,0
67787,52,207.0,1,2,60.6,58.7,4,2,2,0.0,0.0,1.0,1,0
67874,27,132.18,0,1,59.3,73.6,7,5,4,0.0,0.0,1.0,1,0
72122,127,126.0,0,1,61.8,15.0,2,4,2,0.0,0.0,1.0,1,0
43100,63,71.0,0,0,55.2,76.9,47,2,3,0.0,0.0,0.0,0,1
37580,11,84.0,0,0,65.0,25.7,37,5,2,0.0,0.0,0.0,0,1
27600,172,130.5,0,3,60.7,45.4,46,1,4,0.0,0.0,1.0,1,0
14450,170,95.2,0,1,75.3,4.1,4,6,4,0.0,0.0,1.0,1,0
8648,63,80.1,0,0,57.7,66.2,4,1,2,0.0,0.0,1.0,1,0
13708,98,146.7,0,0,69.5,21.9,12,3,4,0.0,0.0,1.0,1,0
75131,134,127.67,0,2,65.1,32.6,7,4,3,0.0,0.0,1.0,0,1
31311,237,120.6,0,2,81.5,0.0,45,2,11,0.0,0.0,1.0,1,0
24119,53,106.2,0,0,55.4,58.1,1,0,3,0.0,0.0,1.0,1,0
72002,395,112.67,0,0,69.7,46.8,15,0,3,0.0,0.0,0.0,0,1
52885,45,67.0,1,0,56.2,39.7,41,5,1,0.0,0.0,1.0,0,0
40687,176,125.0,0,0,55.0,63.6,42,5,2,1.0,1.0,1.0,0,1
21149,29,211.0,0,1,58.3,70.3,44,6,4,0.0,0.0,1.0,1,0
79162,213,104.0,0,0,67.6,46.6,4,5,4,0.0,0.0,0.0,0,1
25441,61,117.0,0,0,64.8,16.1,5,4,2,0.0,0.0,1.0,1,0
52120,100,103.5,0,0,68.2,29.4,12,2,2,0.0,0.0,1.0,0,1
52052,20,76.5,0,0,76.6,9.8,23,3,3,0.0,0.0,1.0,0,1
40560,12,97.0,0,0,54.6,23.1,9,1,1,0.0,0.0,1.0,0,1
24368,241,84.6,0,0,66.1,0.8,28,1,3,0.0,0.0,1.0,1,0
67886,24,139.4,0,0,62.7,79.0,7,0,5,0.0,0.0,1.0,1,0
60948,48,88.2,0,2,64.5,52.2,37,4,3,0.0,0.0,1.0,1,0
53782,115,94.5,0,1,79.8,16.0,13,6,2,0.0,0.0,1.0,0,0
31406,10,118.0,0,1,67.4,42.7,26,1,1,0.0,0.0,1.0,1,0
47003,138,90.0,0,1,57.6,44.8,48,5,1,0.0,0.0,0.0,0,0
59329,0,136.0,0,0,61.9,67.9,41,3,1,0.0,0.0,1.0,0,0
11019,273,95.0,0,0,58.7,49.1,33,5,3,0.0,1.0,1.0,0,1
31847,142,107.1,0,0,74.6,7.7,8,4,3,0.0,0.0,1.0,1,0
38421,20,90.0,0,0,63.6,42.7,38,4,3,0.0,0.0,1.0,0,0
62407,110,84.6,0,0,56.2,39.7,32,3,1,0.0,0.0,1.0,1,0
7052,33,80.3,0,1,57.7,84.1,1,3,1,0.0,0.0,1.0,1,0
44459,44,74.82,0,1,54.2,64.5,1,0,5,0.0,0.0,1.0,1,0
18942,468,62.0,0,0,65.0,58.4,28,5,2,0.0,1.0,1.0,0,0
63663,1,97.0,0,0,50.9,39.1,52,1,3,0.0,0.0,1.0,0,0
31484,270,154.8,0,1,69.5,46.0,41,1,2,0.0,0.0,1.0,1,0
3964,68,65.0,0,0,69.8,33.2,30,4,2,0.0,0.0,0.0,0,1
70152,274,109.8,0,3,64.6,50.4,29,5,2,0.0,0.0,1.0,1,0
14537,379,59.0,0,0,72.2,26.0,28,3,1,0.0,1.0,1.0,0,0
1683,0,106.67,0,1,70.9,71.2,34,6,3,0.0,0.0,0.0,1,0
12682,120,126.9,0,0,67.7,47.9,6,4,3,0.0,0.0,1.0,1,0
54799,26,169.0,0,2,88.4,1.2,28,2,4,0.0,0.0,0.0,1,0
26177,34,190.0,0,0,63.5,44.4,10,0,4,0.0,0.0,1.0,1,0
43922,8,85.0,0,0,48.7,4.8,6,1,1,0.0,0.0,0.0,1,0
54973,129,83.61,0,2,82.2,12.5,13,6,5,0.0,0.0,0.0,0,1
20354,489,62.8,0,0,58.4,36.6,28,5,2,0.0,1.0,1.0,0,0
74717,396,122.4,0,1,68.6,48.9,21,3,2,0.0,0.0,0.0,0,1
43721,12,130.0,0,2,55.5,60.3,4,2,5,0.0,0.0,1.0,1,0
75306,188,83.96,0,1,69.0,55.8,51,4,7,0.0,0.0,1.0,0,1
4845,193,65.0,0,0,66.1,29.1,14,0,3,0.0,1.0,1.0,0,1
33469,204,99.0,0,0,71.6,54.0,5,4,3,0.0,0.0,1.0,1,0
53609,175,112.5,0,2,79.9,0.4,4,6,2,0.0,0.0,0.0,1,0
9092,82,99.45,0,0,58.7,30.9,2,5,5,0.0,0.0,1.0,1,0
57630,51,187.11,0,2,68.2,30.6,30,3,4,0.0,0.0,1.0,1,0
13040,188,130.0,0,0,64.5,49.3,50,4,2,0.0,1.0,1.0,0,1
33513,19,159.8,0,0,74.1,56.4,32,1,5,0.0,0.0,1.0,1,0
63961,19,121.2,0,2,52.5,14.3,49,5,7,0.0,0.0,1.0,1,0
22975,144,93.6,0,2,51.0,40.9,36,1,1,0.0,0.0,1.0,1,0
53101,184,125.0,0,1,82.7,0.0,2,4,2,0.0,0.0,0.0,0,0
36819,239,60.0,0,0,65.5,52.0,8,5,1,1.0,1.0,1.0,0,0
70502,77,108.0,0,1,58.8,51.4,6,3,3,0.0,0.0,1.0,1,0
40365,34,90.0,0,0,57.3,71.4,45,3,2,1.0,1.0,1.0,0,1
17563,447,62.0,0,0,74.4,11.1,28,5,2,0.0,1.0,1.0,0,0
7766,52,78.3,0,0,52.2,45.0,2,3,1,0.0,0.0,1.0,1,0
44269,1,107.0,1,1,54.2,64.5,8,1,1,0.0,0.0,1.0,0,1
27544,161,120.0,0,0,60.7,45.4,47,5,2,0.0,1.0,1.0,0,1
21518,185,103.5,0,0,51.0,55.6,24,2,3,0.0,0.0,1.0,1,0
47718,44,133.0,0,1,60.7,71.3,10,4,3,0.0,0.0,0.0,0,1
57609,315,65.0,0,1,73.4,10.3,45,6,2,0.0,0.0,0.0,0,0
10426,437,60.0,0,0,67.3,0.0,8,5,3,0.0,1.0,1.0,0,0
19841,304,89.0,0,0,64.5,52.7,1,1,3,0.0,1.0,1.0,0,1
25355,129,100.0,0,0,62.2,20.6,47,5,2,0.0,1.0,1.0,0,1
69550,196,90.09,0,1,65.7,63.3,38,0,5,0.0,0.0,1.0,0,1
38364,11,119.7,0,1,71.0,79.5,39,3,5,0.0,0.0,0.0,0,1
40324,34,90.0,0,0,57.3,71.4,45,3,2,1.0,1.0,1.0,0,1
55895,48,122.22,0,0,79.2,0.0,27,2,4,0.0,0.0,1.0,0,1
26951,111,120.0,0,0,59.5,65.1,1,5,4,0.0,1.0,1.0,0,1
37489,21,170.0,0,0,68.9,32.9,37,3,1,1.0,1.0,1.0,0,0
27349,82,108.0,0,0,69.8,53.5,6,5,3,0.0,0.0,1.0,1,0
4788,43,85.0,0,0,67.4,66.4,36,1,1,0.0,0.0,0.0,0,1
9939,168,85.0,0,0,59.8,49.7,45,5,3,0.0,1.0,1.0,0,1
24124,289,81.9,0,0,55.4,58.1,20,2,3,0.0,0.0,1.0,1,0
21668,59,138.6,0,2,54.1,16.0,43,3,3,0.0,0.0,1.0,1,0
57771,0,110.12,0,0,67.4,22.4,38,2,1,0.0,0.0,1.0,0,1
68476,158,95.0,0,1,56.8,42.4,42,4,2,0.0,0.0,0.0,0,1
45259,55,84.2,0,1,52.2,45.0,1,0,8,0.0,0.0,1.0,1,0
72380,87,126.0,0,0,69.9,32.2,8,5,2,0.0,0.0,0.0,0,1
42123,99,80.0,0,0,51.1,5.2,46,4,1,1.0,0.0,0.0,0,0
56455,50,158.0,0,0,73.6,9.4,28,3,3,0.0,0.0,1.0,0,1
22233,139,79.2,0,1,50.1,37.8,34,1,3,0.0,0.0,1.0,1,0
29274,186,130.0,0,0,67.6,34.6,47,5,2,0.0,1.0,1.0,0,1
73868,116,98.1,0,0,75.0,38.0,7,4,2,0.0,0.0,1.0,0,1
31331,183,198.6,0,1,73.6,18.5,1,1,7,0.0,0.0,1.0,0,1
1788,50,60.0,0,0,70.0,7.0,28,1,4,0.0,0.0,0.0,0,0
17642,157,135.9,0,0,71.9,33.7,17,2,3,0.0,0.0,1.0,1,0
23192,56,220.8,0,0,58.5,70.4,49,5,3,0.0,0.0,1.0,0,1
2777,168,50.0,0,0,67.7,41.8,13,5,2,0.0,0.0,0.0,0,0
74522,2,110.0,0,0,72.0,31.5,25,2,2,0.0,0.0,1.0,0,0
14242,70,80.0,0,0,70.2,23.7,18,1,6,0.0,0.0,1.0,0,1
2391,1,75.0,0,0,70.1,14.8,36,6,2,0.0,0.0,0.0,0,0
17884,281,168.3,0,0,64.8,56.7,52,0,4,0.0,0.0,1.0,1,0
16208,120,115.0,0,0,76.2,14.6,18,4,3,0.0,1.0,1.0,0,1
54290,4,121.0,0,1,73.8,11.1,30,5,1,0.0,0.0,1.0,1,0
76338,6,101.0,0,1,74.6,7.7,27,0,4,0.0,0.0,1.0,0,1
47939,64,115.03,0,2,60.7,71.3,7,5,6,0.0,0.0,0.0,1,0
44468,1,112.0,1,1,44.3,55.5,8,5,1,0.0,0.0,1.0,1,0
62072,33,63.0,0,0,61.4,81.3,42,2,3,0.0,0.0,1.0,0,1
13472,351,62.0,0,0,69.8,38.2,28,3,2,0.0,1.0,1.0,0,0
66661,5,93.0,0,1,55.1,68.2,8,5,1,0.0,0.0,1.0,0,1
37576,11,98.0,0,0,65.0,25.7,37,5,2,0.0,0.0,0.0,0,1
780,0,100.0,0,0,72.3,57.2,32,6,2,0.0,0.0,1.0,0,0
15611,192,99.45,0,1,71.7,11.1,6,1,7,0.0,0.0,0.0,1,0
56774,90,167.4,1,2,69.8,33.2,23,5,1,0.0,0.0,1.0,1,0
4638,66,75.0,0,0,61.9,47.5,32,2,3,0.0,0.0,0.0,0,1
23790,58,78.0,0,0,58.2,15.7,52,2,4,0.0,1.0,1.0,0,1
60544,4,140.0,0,2,71.9,88.1,43,2,1,0.0,0.0,1.0,1,0
15808,178,94.62,0,1,80.2,29.9,8,6,3,0.0,0.0,0.0,1,0
63660,78,114.9,0,2,50.9,39.1,41,1,3,0.0,0.0,1.0,1,0
18676,93,115.0,0,0,62.6,49.8,28,4,3,0.0,1.0,1.0,0,1
21666,32,79.2,0,0,54.1,16.0,47,2,2,0.0,0.0,1.0,1,0
74813,0,85.0,0,0,69.1,38.3,28,1,1,0.0,0.0,1.0,0,0
77305,208,157.0,0,0,71.0,22.0,1,5,1,0.0,0.0,0.0,0,1
18352,279,110.0,0,0,61.9,67.9,1,4,3,0.0,1.0,1.0,0,1
63573,116,88.4,0,1,53.4,33.7,35,1,6,0.0,0.0,1.0,1,0
6312,148,67.0,0,0,59.0,81.9,32,2,5,0.0,1.0,1.0,0,1
38555,3,116.4,0,0,63.4,79.9,41,3,3,0.0,0.0,1.0,0,1
48219,180,100.0,0,1,67.3,0.0,45,3,2,0.0,0.0,0.0,0,1
67768,96,79.2,0,3,59.3,73.6,49,6,3,0.0,0.0,1.0,0,1
15022,391,62.0,0,0,72.5,52.9,28,5,2,0.0,1.0,1.0,0,0
38815,3,85.0,0,0,66.1,29.1,42,1,3,0.0,0.0,1.0,0,1
56300,43,144.23,0,0,71.6,13.3,28,0,4,0.0,0.0,1.0,1,0
52936,109,107.55,0,1,70.2,23.7,12,4,4,0.0,0.0,1.0,1,0
29250,35,90.0,0,0,67.6,34.6,17,2,1,0.0,1.0,1.0,0,1
63956,67,102.6,0,0,54.7,65.5,43,4,2,0.0,0.0,1.0,1,0
29019,167,115.0,0,0,75.4,30.4,49,5,3,0.0,1.0,1.0,0,1
57856,91,80.75,0,0,72.9,35.6,25,1,3,0.0,0.0,1.0,0,1
53293,11,94.71,0,1,67.4,22.4,36,5,1,0.0,0.0,1.0,0,1
16264,420,75.0,0,0,78.3,28.0,28,6,4,0.0,1.0,1.0,0,1
31885,307,119.0,0,3,74.6,7.7,36,0,7,0.0,0.0,1.0,1,0
76846,102,140.4,0,0,70.7,26.4,15,3,4,0.0,0.0,1.0,0,1
56952,61,145.4,0,1,69.8,33.2,27,6,3,0.0,0.0,1.0,1,0
13481,8,79.0,0,1,69.8,38.2,24,3,1,0.0,0.0,1.0,1,0
29172,183,139.5,0,0,66.4,54.5,47,6,2,0.0,0.0,1.0,1,0
23523,154,88.0,0,1,56.3,56.1,37,2,4,0.0,0.0,1.0,1,0
28942,311,99.45,0,0,75.7,19.6,28,0,4,0.0,0.0,1.0,1,0
61392,45,75.0,0,0,58.4,36.6,39,1,3,0.0,0.0,1.0,0,1
56046,178,88.77,0,0,75.8,21.2,9,3,2,0.0,0.0,0.0,1,0
55183,173,121.5,0,0,71.5,25.4,8,3,2,0.0,0.0,1.0,1,0
42624,228,107.0,0,1,68.7,34.3,47,6,4,1.0,0.0,1.0,1,0
12913,71,120.0,0,0,68.0,45.1,14,1,3,0.0,1.0,1.0,0,1
8689,53,85.0,0,0,59.1,61.1,5,5,5,0.0,0.0,1.0,0,1
54597,105,107.1,0,1,82.4,0.0,16,6,2,0.0,0.0,1.0,1,0
71460,116,117.0,0,1,64.2,45.1,2,5,3,0.0,0.0,1.0,1,0
76304,151,116.1,0,0,77.8,21.8,6,6,7,0.0,0.0,1.0,1,0
30058,30,144.0,0,1,73.0,58.3,19,4,1,0.0,0.0,1.0,0,1
45209,16,75.0,0,0,54.5,6.4,8,3,1,0.0,0.0,0.0,0,0
3511,13,87.78,0,1,73.8,4.6,37,1,2,0.0,0.0,1.0,0,1
24562,35,105.4,0,0,56.0,22.7,6,1,5,0.0,0.0,1.0,1,0
39366,137,70.0,0,0,53.5,50.3,37,6,2,1.0,1.0,1.0,0,1
48031,142,57.5,0,0,62.1,50.8,50,3,2,0.0,0.0,0.0,0,0
52545,145,112.0,0,1,73.1,23.1,6,3,5,0.0,0.0,0.0,0,1
73907,7,110.0,0,0,70.9,67.1,22,5,6,0.0,0.0,1.0,0,0
73705,330,99.0,0,2,70.9,67.1,28,4,3,0.0,0.0,1.0,1,0
65257,50,78.0,0,0,58.5,70.4,50,4,2,0.0,0.0,1.0,0,1
45262,50,48.6,0,0,54.5,6.4,3,4,2,0.0,0.0,1.0,0,1
75915,112,126.0,0,1,69.4,61.7,11,0,4,0.0,0.0,1.0,1,0
60190,0,106.25,0,2,63.4,81.5,42,5,4,0.0,0.0,1.0,1,0
7819,1,75.0,0,0,52.6,66.8,9,0,4,0.0,0.0,1.0,0,0
23747,0,12.0,0,0,59.9,1.8,8,3,1,0.0,0.0,1.0,0,0
29783,39,126.67,0,0,74.6,3.9,17,6,3,0.0,0.0,1.0,1,0
528,2,94.5,0,0,73.5,28.1,31,4,3,0.0,0.0,0.0,0,1
68294,116,90.0,0,0,48.2,48.4,48,1,2,0.0,0.0,0.0,0,1
27147,30,126.33,0,1,60.2,32.1,13,4,3,0.0,0.0,1.0,1,0
19181,52,145.24,0,0,61.1,47.8,35,4,5,0.0,0.0,1.0,0,1
31440,310,89.1,0,2,67.4,42.7,35,2,4,0.0,0.0,1.0,1,0
42068,99,80.0,0,0,51.1,5.2,46,4,1,1.0,0.0,0.0,0,0
77532,300,98.28,0,2,77.1,34.2,40,6,3,0.0,0.0,1.0,0,1
